episode,success_rewards,airspace_penalties,mva_penalties,time_penalty,approach_position_rewards,approach_angle_rewards,glideslope_rewards,fuel_efficiency_rewards,fuel_penalties
0,786.9560089069805,0,0,-114.0,117.18977749148702,9.237048899573324,0,0,0
1,786.955862502584,0,0,-114.0,117.46533431318305,8.62464737280829,0,0,0
2,787.0492894993577,0,0,-113.5,116.88807245132404,9.613815040942841,0,0,0
3,787.0516360706672,0,0,-113.5,116.74293997049969,9.411227462286185,0,0,0
4,786.9534808887502,0,0,-114.0,117.82416253148405,8.828759627561556,0,0,0
5,786.9543352386321,0,0,-114.0,117.52323368319361,8.948286242602935,0,0,0
6,786.9480168537458,0,0,-114.0,118.26233208437414,9.49291087490403,0,0,0
7,786.9566409255042,0,0,-114.0,117.60058597895237,9.761396639731515,0,0,0
8,786.547259854374,0,0,-116.0,126.14129420260167,10.126957380736757,0,0,0
9,786.9464898801297,0,0,-114.0,117.76358260023923,8.950062918440802,0,0,0
10,787.0578536617602,0,0,-113.5,116.59775940192,9.833646163493597,0,0,0
11,786.9550773713179,0,0,-114.0,117.76492344910956,9.41141840499686,0,0,0
12,787.0523872813312,0,0,-113.5,117.27099891648133,9.894973700729317,0,0,0
13,787.0507740759472,0,0,-113.5,117.0469719854242,9.77153850496805,0,0,0
14,786.9441863735258,0,0,-114.0,118.65322839786883,9.148903323166422,0,0,0
15,786.9463751716677,0,0,-114.0,117.14250200384708,9.59922322266649,0,0,0
16,786.9511467316091,0,0,-114.0,118.1263583700496,9.718820246297827,0,0,0
17,787.0500493416192,0,0,-113.5,117.34224079929926,9.53563252318594,0,0,0
18,787.0523915945754,0,0,-113.5,116.77188019555643,9.531811305857104,0,0,0
19,787.0500392293205,0,0,-113.5,117.30746358289832,9.783440923722262,0,0,0
20,787.0469278970031,0,0,-113.5,116.74595359040073,10.06328513212627,0,0,0
21,787.0390513754656,0,0,-113.5,116.67169214230418,9.633843888222579,0,0,0
22,787.0485270302706,0,0,-113.5,117.06081907344569,10.035102026666106,0,0,0
23,786.9441106500246,0,0,-114.0,118.11408557167722,9.229634340234094,0,0,0
24,787.04849186179,0,0,-113.5,117.4812059247286,9.23625064812775,0,0,0
25,787.0453037905057,0,0,-113.5,117.00275518634888,9.141639505693195,0,0,0
26,787.0445673173651,0,0,-113.5,116.89917823271067,9.770564221595759,0,0,0
27,786.940252532472,0,0,-114.0,118.6313970319534,9.450514115225053,0,0,0
28,787.0460938068778,0,0,-113.5,116.9240282842056,9.326634706273184,0,0,0
29,786.8444924263939,0,0,-114.5,118.12144634355592,9.484152386401535,0,0,0
30,787.0454145042686,0,0,-113.5,117.22325126543309,9.622664833333424,0,0,0
31,786.9472650122402,0,0,-114.0,117.80134537934472,9.554380867821664,0,0,0
32,787.0453428862606,0,0,-113.5,117.32836642881672,9.759395252750103,0,0,0
33,787.044572851305,0,0,-113.5,116.810487522781,9.459519671198937,0,0,0
34,786.9427095803053,0,0,-114.0,118.22139902139931,9.480556696933997,0,0,0
35,787.0415087581702,0,0,-113.5,117.29675250519797,9.518943416898209,0,0,0
36,786.9426121374139,0,0,-114.0,117.84188934385502,9.289001802230631,0,0,0
37,787.0406806740601,0,0,-113.5,116.92357759645628,9.292021992688186,0,0,0
38,787.0430680542851,0,0,-113.5,117.53277618456131,9.709212582228284,0,0,0
39,786.5410199432829,0,0,-116.0,126.76879384852114,10.241586723020587,0,0,0
40,787.0390437336872,0,0,-113.5,117.11285719682128,9.354196637008103,0,0,0
41,786.0398527303843,0,0,-118.5,132.00690641825187,9.99217228484313,0,0,0
42,786.1361606792664,0,0,-118.0,131.4157398118046,10.221995074905632,0,0,0
43,786.541632221859,0,0,-116.0,126.0411634276144,10.06997289886216,0,0,0
44,787.0407028055796,0,0,-113.5,116.60529462476202,9.180642753394286,0,0,0
45,787.0446972352422,0,0,-113.5,117.40492197737393,9.47062664569335,0,0,0
46,787.0437437678839,0,0,-113.5,116.91534476523796,9.696251562840912,0,0,0
47,786.9363858945413,0,0,-114.0,119.32882584753112,9.673112623848256,0,0,0
48,787.0422866948653,0,0,-113.5,117.09329436125303,9.31613052237856,0,0,0
49,786.9449035907104,0,0,-114.0,117.73392552793064,8.88147061386974,0,0,0
50,786.934670861211,0,0,-114.0,118.20438473609502,8.772255172808366,0,0,0
